93.2789,'d',released,OTHPYR
93.3669,'w',released,OTHPYR
93.6889,'s',pressed,OTHPYR
93.7310,Mouse.left,released
93.7743,'a',pressed,OTHPYR
93.8449,Mouse.left,pressed
93.9901,Mouse.left,released
94.1080,'s',released,OTHPYR
94.2129,'a',released,OTHPYR
94.3789,'a',pressed,OTHPYR
95.1869,'a',released,OTHPYR
95.4290,'a',pressed,OTHPYR
95.5802,'d',pressed,OTHPYR
95.5996,'a',released,OTHPYR
96.3150,'w',pressed,OTHPYR
96.4160,'d',released,OTHPYR
96.6129,'w',released,OTHPYR
96.9390,'w',pressed,OTHPYR
96.9920,'a',pressed,OTHPYR
97.0981,'w',released,OTHPYR
97.2065,'a',released,OTHPYR
97.4360,'s',pressed,OTHPYR
97.6340,'a',pressed,OTHPYR
97.8041,'s',released,OTHPYR
97.8720,'d',pressed,OTHPYR
97.9309,'a',released,OTHPYR
98.2599,'w',pressed,OTHPYR
98.3959,'d',released,OTHPYR
98.7192,'a',pressed,OTHPYR
98.8129,'w',released,OTHPYR
98.9150,'a',released,OTHPYR
99.1491,'s',pressed,OTHPYR
99.1531,'a',pressed,OTHPYR
99.5319,'s',released,OTHPYR
99.7128,Key.shift,pressed,OTHPYR
100.1981,'W',pressed,OTHPYR
100.2879,Key.shift,released,OTHPYR
100.3041,'a',released,OTHPYR
100.3320,'d',pressed,OTHPYR
100.5470,'w',released,OTHPYR
101.1852,'w',pressed,OTHPYR
101.3295,'w',released,OTHPYR
101.6550,'d',released,OTHPYR
101.7470,'a',pressed,OTHPYR
101.7723,'s',pressed,OTHPYR
101.9921,'s',released,OTHPYR
102.1988,'w',pressed,OTHPYR
102.2219,'d',pressed,OTHPYR
102.2489,'a',released,OTHPYR
102.7625,'d',released,OTHPYR
102.7729,'w',released,OTHPYR
102.8901,'a',pressed,OTHPYR
102.9991,'s',pressed,OTHPYR
103.1461,'a',released,OTHPYR
103.5179,'a',pressed,OTHPYR
103.9599,'a',released,OTHPYR
104.0193,'s',released,OTHPYR
104.1259,'d',pressed,OTHPYR
104.3501,'s',pressed,OTHPYR
104.4839,'d',released,OTHPYR
104.5189,'a',pressed,OTHPYR
104.6860,'s',released,OTHPYR
105.0069,'w',pressed,OTHPYR
105.4850,'w',released,OTHPYR
105.5069,'d',pressed,OTHPYR
105.6419,'a',released,OTHPYR
105.9415,'a',pressed,OTHPYR
105.9472,'w',pressed,OTHPYR
106.0762,'d',released,OTHPYR
106.2319,'d',pressed,OTHPYR
106.2640,'w',released,OTHPYR
106.3680,'a',released,OTHPYR
106.5913,'s',pressed,OTHPYR
106.7330,'d',released,OTHPYR
106.9219,'a',pressed,OTHPYR
107.0819,'s',released,OTHPYR
107.2511,'a',released,OTHPYR
107.3569,'a',pressed,OTHPYR
107.5489,'a',released,OTHPYR
107.5892,'d',pressed,OTHPYR
108.1049,'a',pressed,OTHPYR
108.1260,'d',released,OTHPYR
108.5191,'a',released,OTHPYR
108.9519,'d',pressed,OTHPYR
109.4499,'a',pressed,OTHPYR
109.5039,'d',released,OTHPYR
109.7699,'s',pressed,OTHPYR
109.7999,'a',released,OTHPYR
110.2079,'s',released,OTHPYR
110.3879,'d',pressed,OTHPYR
110.4079,'a',pressed,OTHPYR
110.4381,'d',released,OTHPYR
